epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,6849.33,1.45141,0.66085,0.00624,0.83592,0.83666,0.88269,0.51847,1.62263,0.66571,0.00642,0.000720811,0.000720811,0.000720811
88,6927.73,1.46215,0.68155,0.00615,0.89525,0.84198,0.89869,0.51684,1.63051,0.6441,0.00639,0.000709809,0.000709809,0.000709809
89,7005.32,1.45815,0.65471,0.00608,0.9148,0.83051,0.89876,0.51968,1.64258,0.66614,0.00638,0.000698806,0.000698806,0.000698806
90,7083.2,1.44054,0.65196,0.00611,0.88344,0.81875,0.89069,0.52823,1.62355,0.67002,0.00627,0.000687804,0.000687804,0.000687804
91,7161.08,1.46787,0.67035,0.00617,0.89033,0.80647,0.88928,0.52146,1.58989,0.66386,0.00627,0.000676802,0.000676802,0.000676802
92,7239.29,1.4236,0.62452,0.00601,0.90381,0.81203,0.90047,0.5158,1.60923,0.64804,0.00629,0.0006658,0.0006658,0.0006658
93,7317.21,1.43202,0.64803,0.00603,0.8958,0.82156,0.90124,0.52239,1.59514,0.66276,0.00619,0.000654798,0.000654798,0.000654798
94,7395.72,1.43341,0.64511,0.00596,0.8582,0.83356,0.89193,0.52651,1.61464,0.64796,0.00634,0.000643795,0.000643795,0.000643795
95,7473.54,1.44416,0.63905,0.00605,0.89147,0.81746,0.89275,0.52689,1.56981,0.64591,0.00629,0.000632793,0.000632793,0.000632793
96,7551.61,1.41647,0.60616,0.006,0.92948,0.78987,0.89859,0.5376,1.57192,0.63371,0.00631,0.000621791,0.000621791,0.000621791
97,7629.6,1.42322,0.63761,0.00593,0.90179,0.82471,0.90718,0.53372,1.57113,0.59167,0.00621,0.000610789,0.000610789,0.000610789
98,7707.95,1.40668,0.63162,0.00579,0.91014,0.81209,0.90563,0.5404,1.59897,0.62363,0.00629,0.000599787,0.000599787,0.000599787
99,7785.99,1.42405,0.62825,0.006,0.92503,0.82228,0.89007,0.53855,1.55553,0.62337,0.00618,0.000588784,0.000588784,0.000588784
100,7864.33,1.40858,0.61931,0.00595,0.91464,0.82441,0.89699,0.5344,1.58287,0.67313,0.00627,0.000577782,0.000577782,0.000577782
101,7941.7,1.38837,0.60651,0.00581,0.89487,0.85079,0.9068,0.53978,1.59137,0.61645,0.00627,0.00056678,0.00056678,0.00056678
102,8019.69,1.416,0.63241,0.00578,0.91811,0.83995,0.91068,0.54118,1.57816,0.61817,0.00632,0.000555778,0.000555778,0.000555778
103,8097.35,1.41125,0.63475,0.00588,0.89064,0.81924,0.89285,0.53884,1.57748,0.65599,0.00619,0.000544776,0.000544776,0.000544776
104,8174.54,1.36621,0.6077,0.00571,0.92729,0.81036,0.90228,0.54862,1.51846,0.63606,0.00598,0.000533773,0.000533773,0.000533773
105,8252.88,1.38487,0.60759,0.00575,0.88789,0.85635,0.9066,0.53787,1.57113,0.61922,0.00615,0.000522771,0.000522771,0.000522771
106,8331.48,1.37239,0.59946,0.00569,0.91031,0.83419,0.91378,0.55087,1.54247,0.59478,0.00607,0.000511769,0.000511769,0.000511769
107,8409.05,1.38597,0.60021,0.00574,0.91294,0.80964,0.8986,0.54615,1.53784,0.63849,0.00606,0.000500767,0.000500767,0.000500767
108,8487.44,1.38347,0.59577,0.00581,0.88777,0.82467,0.89685,0.54306,1.56015,0.62306,0.00609,0.000489765,0.000489765,0.000489765
109,8565.78,1.34822,0.57887,0.00548,0.92683,0.78826,0.89466,0.5353,1.58333,0.63138,0.00622,0.000478762,0.000478762,0.000478762
110,8643.48,1.37313,0.5916,0.00562,0.9473,0.75384,0.88985,0.54799,1.54933,0.64853,0.00614,0.00046776,0.00046776,0.00046776
111,8721.12,1.36314,0.59441,0.00572,0.859,0.81758,0.89265,0.5402,1.55068,0.6455,0.00607,0.000456758,0.000456758,0.000456758
112,8799.08,1.34423,0.59503,0.00554,0.88883,0.80639,0.88898,0.53636,1.57183,0.63633,0.00624,0.000445756,0.000445756,0.000445756
113,8877.39,1.36742,0.59895,0.00559,0.93811,0.79518,0.89452,0.53587,1.5852,0.63369,0.00627,0.000434754,0.000434754,0.000434754
114,8954.97,1.33426,0.57722,0.00557,0.91384,0.80092,0.89211,0.54001,1.57928,0.62181,0.00629,0.000423751,0.000423751,0.000423751
115,9032.58,1.35758,0.58209,0.00547,0.91577,0.8229,0.89623,0.5448,1.56369,0.64267,0.00616,0.000412749,0.000412749,0.000412749
116,9110.68,1.33477,0.5847,0.00547,0.89645,0.82266,0.89506,0.55466,1.54192,0.62731,0.00604,0.000401747,0.000401747,0.000401747
117,9188.44,1.33244,0.57699,0.00549,0.89843,0.8165,0.89563,0.54505,1.58669,0.61952,0.00622,0.000390745,0.000390745,0.000390745
118,9266.26,1.32702,0.58485,0.00553,0.88442,0.83075,0.90699,0.55288,1.55824,0.61889,0.00614,0.000379743,0.000379743,0.000379743
119,9343.38,1.31448,0.56446,0.00541,0.88738,0.82292,0.89352,0.54138,1.55907,0.63829,0.00616,0.00036874,0.00036874,0.00036874
120,9421.26,1.30075,0.56616,0.00547,0.89639,0.84512,0.90124,0.54427,1.53269,0.63736,0.00605,0.000357738,0.000357738,0.000357738
121,9499.28,1.31295,0.56231,0.00529,0.92747,0.79608,0.89169,0.54302,1.56995,0.64502,0.00624,0.000346736,0.000346736,0.000346736
122,9577.37,1.30194,0.55578,0.00529,0.92416,0.80325,0.89218,0.54192,1.55305,0.67505,0.00613,0.000335734,0.000335734,0.000335734
123,9655.25,1.29537,0.55874,0.00524,0.90571,0.80092,0.88653,0.5371,1.56115,0.68069,0.00617,0.000324732,0.000324732,0.000324732
124,9733.06,1.2852,0.55257,0.00521,0.86842,0.87115,0.9007,0.55263,1.52115,0.64456,0.00606,0.000313729,0.000313729,0.000313729
125,9811.29,1.29664,0.57976,0.00536,0.89721,0.82107,0.89575,0.53921,1.54298,0.65056,0.00611,0.000302727,0.000302727,0.000302727
126,9889.15,1.27543,0.5619,0.00527,0.91043,0.82963,0.90011,0.54641,1.54243,0.64302,0.00614,0.000291725,0.000291725,0.000291725
127,9966.74,1.27379,0.56009,0.00528,0.88749,0.82739,0.89066,0.53286,1.58199,0.65123,0.00627,0.000280723,0.000280723,0.000280723
128,10046,1.29057,0.55921,0.00515,0.8923,0.83367,0.8979,0.54829,1.53479,0.64425,0.00606,0.000269721,0.000269721,0.000269721
129,10125.5,1.2817,0.55281,0.00515,0.87313,0.82579,0.88722,0.54556,1.56766,0.62546,0.00621,0.000258718,0.000258718,0.000258718
130,10203.4,1.29162,0.54749,0.0052,0.92156,0.81249,0.89068,0.54812,1.54494,0.63704,0.00617,0.000247716,0.000247716,0.000247716
131,10280.8,1.28239,0.55162,0.00509,0.92909,0.81764,0.89372,0.54576,1.55702,0.64315,0.0062,0.000236714,0.000236714,0.000236714
132,10359.1,1.25404,0.54949,0.00527,0.89865,0.82141,0.89134,0.54759,1.5508,0.63696,0.00619,0.000225712,0.000225712,0.000225712
133,10437.7,1.25595,0.54682,0.00513,0.882,0.82857,0.89377,0.5492,1.55228,0.63034,0.0062,0.00021471,0.00021471,0.00021471
134,10515.7,1.27612,0.55306,0.00521,0.87335,0.83524,0.89643,0.54299,1.55531,0.62668,0.00615,0.000203707,0.000203707,0.000203707
135,10593.8,1.26083,0.53553,0.0051,0.87654,0.83792,0.89185,0.54316,1.5656,0.61379,0.00618,0.000192705,0.000192705,0.000192705
136,10671.1,1.26249,0.54288,0.00516,0.89096,0.8232,0.89726,0.54637,1.55832,0.61896,0.00617,0.000181703,0.000181703,0.000181703
137,10749.1,1.26802,0.55285,0.0051,0.87667,0.83974,0.89314,0.54449,1.56727,0.61777,0.00616,0.000170701,0.000170701,0.000170701
138,10826.6,1.26829,0.55313,0.00505,0.93192,0.8092,0.9014,0.54975,1.56855,0.61012,0.0062,0.000159699,0.000159699,0.000159699
139,10904.2,1.24878,0.55029,0.00506,0.94086,0.79359,0.89234,0.54196,1.57099,0.61899,0.00622,0.000148696,0.000148696,0.000148696
140,10982.5,1.22962,0.53505,0.00494,0.87997,0.85195,0.89703,0.54012,1.57411,0.62517,0.00622,0.000137694,0.000137694,0.000137694
141,11058.5,1.18764,0.41453,0.00592,0.90373,0.81746,0.89708,0.53822,1.5825,0.60425,0.00625,0.000126692,0.000126692,0.000126692
142,11133.6,1.16891,0.40959,0.00575,0.9006,0.82006,0.89137,0.53171,1.5702,0.61443,0.00626,0.00011569,0.00011569,0.00011569
143,11208.9,1.15487,0.39902,0.00567,0.92418,0.80641,0.88995,0.53061,1.57446,0.6113,0.00625,0.000104688,0.000104688,0.000104688
144,11298.5,1.14351,0.38247,0.00565,0.89581,0.79736,0.89335,0.53005,1.57561,0.62924,0.00623,9.36854e-05,9.36854e-05,9.36854e-05
145,11394.1,1.14342,0.38713,0.00569,0.93518,0.77994,0.89279,0.53431,1.57653,0.6317,0.0062,8.26832e-05,8.26832e-05,8.26832e-05
146,11469.5,1.1405,0.39198,0.0056,0.9418,0.78533,0.89269,0.53289,1.56813,0.63093,0.00621,7.1681e-05,7.1681e-05,7.1681e-05
147,11544.7,1.12479,0.38517,0.00551,0.8783,0.81162,0.8884,0.52834,1.57126,0.64327,0.00621,6.06788e-05,6.06788e-05,6.06788e-05
148,11620.2,1.11065,0.37673,0.00542,0.87821,0.82308,0.88897,0.52689,1.58301,0.64205,0.00624,4.96766e-05,4.96766e-05,4.96766e-05
149,11696.1,1.10823,0.37592,0.00539,0.87421,0.81752,0.88964,0.53108,1.57607,0.64151,0.00622,3.86744e-05,3.86744e-05,3.86744e-05
150,11771.9,1.11902,0.3899,0.00551,0.88408,0.81662,0.89151,0.53032,1.58381,0.63993,0.00624,2.76722e-05,2.76722e-05,2.76722e-05
