epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,3139.67,0.89684,0.386,0.00363,0.86258,0.86961,0.90095,0.70244,1.03453,0.46143,0.00511,0.0003755,0.0003755,0.0003755
108,3170.11,0.91667,0.38993,0.00373,0.89296,0.84807,0.88622,0.69317,1.03047,0.45383,0.00511,0.00036725,0.00036725,0.00036725
109,3200.45,0.91284,0.39326,0.00362,0.90042,0.85333,0.89758,0.70326,1.03959,0.4473,0.00515,0.000359,0.000359,0.000359
110,3229.2,0.89904,0.40687,0.0037,0.93493,0.83098,0.90558,0.70851,1.0367,0.45675,0.00514,0.00035075,0.00035075,0.00035075
111,3257.92,0.90068,0.37904,0.00363,0.91085,0.82992,0.9033,0.70037,1.03668,0.45315,0.00516,0.0003425,0.0003425,0.0003425
112,3288.3,0.88519,0.3742,0.0036,0.89953,0.83762,0.88873,0.69018,1.03258,0.46732,0.0051,0.00033425,0.00033425,0.00033425
113,3317.55,0.90991,0.38478,0.00375,0.90111,0.8448,0.90258,0.70198,1.04612,0.45227,0.00523,0.000326,0.000326,0.000326
114,3346.8,0.90132,0.3781,0.00366,0.85911,0.85369,0.89665,0.70254,1.03299,0.45797,0.00508,0.00031775,0.00031775,0.00031775
115,3376.26,0.89548,0.38451,0.00367,0.91787,0.81388,0.91625,0.71506,1.02934,0.46359,0.00504,0.0003095,0.0003095,0.0003095
116,3405.99,0.8808,0.37509,0.00356,0.91111,0.83247,0.90719,0.70965,1.02845,0.46853,0.00507,0.00030125,0.00030125,0.00030125
117,3435.6,0.88078,0.381,0.00358,0.87269,0.81472,0.88414,0.69197,1.02963,0.47036,0.00508,0.000293,0.000293,0.000293
118,3465.3,0.88375,0.37479,0.00349,0.84693,0.81953,0.88067,0.68557,1.03486,0.47184,0.0051,0.00028475,0.00028475,0.00028475
119,3494.35,0.89192,0.3868,0.00361,0.8508,0.83064,0.89475,0.69491,1.03682,0.4581,0.00514,0.0002765,0.0002765,0.0002765
120,3523.83,0.8832,0.37832,0.00358,0.90661,0.84091,0.9014,0.70952,1.02777,0.45606,0.00508,0.00026825,0.00026825,0.00026825
121,3552.92,0.88253,0.37881,0.00352,0.86007,0.84272,0.89775,0.70009,1.03884,0.45887,0.00509,0.00026,0.00026,0.00026
122,3581.94,0.85948,0.36015,0.00355,0.8866,0.83679,0.90887,0.71489,1.02814,0.454,0.00503,0.00025175,0.00025175,0.00025175
123,3610.98,0.87089,0.37055,0.00351,0.93036,0.82619,0.92202,0.72291,1.03336,0.44719,0.00508,0.0002435,0.0002435,0.0002435
124,3640.23,0.86781,0.36688,0.00355,0.8919,0.85545,0.92766,0.72626,1.02625,0.45304,0.00508,0.00023525,0.00023525,0.00023525
125,3670.58,0.88259,0.36292,0.00355,0.91938,0.83071,0.90873,0.70858,1.03269,0.46095,0.00512,0.000227,0.000227,0.000227
126,3700.4,0.86237,0.35526,0.00351,0.9147,0.83047,0.92433,0.73322,1.029,0.46777,0.00507,0.00021875,0.00021875,0.00021875
127,3729.32,0.87514,0.36944,0.0034,0.90664,0.85715,0.9156,0.7313,1.02871,0.45274,0.00506,0.0002105,0.0002105,0.0002105
128,3758.16,0.85629,0.34751,0.00357,0.87563,0.85884,0.9159,0.72724,1.02519,0.45109,0.00505,0.00020225,0.00020225,0.00020225
129,3787.61,0.85168,0.37139,0.0034,0.88044,0.83821,0.89486,0.69967,1.02777,0.45729,0.00506,0.000194,0.000194,0.000194
130,3817.65,0.86234,0.35959,0.00346,0.83413,0.84655,0.88861,0.69593,1.02914,0.47311,0.00504,0.00018575,0.00018575,0.00018575
131,3847.26,0.86557,0.36387,0.00339,0.90778,0.8386,0.90199,0.71888,1.02901,0.46452,0.00507,0.0001775,0.0001775,0.0001775
132,3877.01,0.87552,0.37285,0.00354,0.915,0.83799,0.90601,0.71705,1.0309,0.46024,0.00505,0.00016925,0.00016925,0.00016925
133,3906.51,0.85165,0.35437,0.00351,0.92577,0.82365,0.91706,0.72241,1.02622,0.46338,0.00503,0.000161,0.000161,0.000161
134,3935.98,0.86504,0.36418,0.00345,0.8976,0.84139,0.90578,0.71691,1.03479,0.4743,0.00507,0.00015275,0.00015275,0.00015275
135,3965.48,0.84113,0.35385,0.0034,0.91963,0.83192,0.91007,0.71496,1.02829,0.46622,0.00506,0.0001445,0.0001445,0.0001445
136,3995.26,0.85078,0.3632,0.00342,0.85728,0.84971,0.90203,0.71666,1.02887,0.46731,0.00505,0.00013625,0.00013625,0.00013625
137,4025.24,0.83985,0.34958,0.00339,0.83871,0.85979,0.88834,0.70994,1.02851,0.46325,0.00505,0.000128,0.000128,0.000128
